array_size=8192 	STRIDE=1 	avgMISSES=0.000013 	avgTIME=0.000757
array_size=8192 	STRIDE=2 	avgMISSES=0.000016 	avgTIME=0.000753
array_size=8192 	STRIDE=4 	avgMISSES=0.000005 	avgTIME=0.000783
array_size=8192 	STRIDE=8 	avgMISSES=0.000013 	avgTIME=0.000757
array_size=8192 	STRIDE=16 	avgMISSES=0.000002 	avgTIME=0.000767
array_size=8192 	STRIDE=32 	avgMISSES=0.000003 	avgTIME=0.000784
array_size=8192 	STRIDE=64 	avgMISSES=0.000005 	avgTIME=0.000806
array_size=8192 	STRIDE=128 	avgMISSES=0.000004 	avgTIME=0.000854
array_size=8192 	STRIDE=256 	avgMISSES=0.000002 	avgTIME=0.000674
array_size=8192 	STRIDE=512 	avgMISSES=0.000002 	avgTIME=0.000733
array_size=8192 	STRIDE=1024 	avgMISSES=0.000004 	avgTIME=0.000746
array_size=8192 	STRIDE=2048 	avgMISSES=0.000000 	avgTIME=0.000793
array_size=8192 	STRIDE=4096 	avgMISSES=0.000000 	avgTIME=0.000963
array_size=16384 	STRIDE=1 	avgMISSES=0.000024 	avgTIME=0.000773
array_size=16384 	STRIDE=2 	avgMISSES=0.000008 	avgTIME=0.000757
array_size=16384 	STRIDE=4 	avgMISSES=0.000000 	avgTIME=0.000753
array_size=16384 	STRIDE=8 	avgMISSES=0.000005 	avgTIME=0.000757
array_size=16384 	STRIDE=16 	avgMISSES=0.000056 	avgTIME=0.000783
array_size=16384 	STRIDE=32 	avgMISSES=0.000034 	avgTIME=0.000762
array_size=16384 	STRIDE=64 	avgMISSES=0.000033 	avgTIME=0.000777
array_size=16384 	STRIDE=128 	avgMISSES=0.000013 	avgTIME=0.000810
array_size=16384 	STRIDE=256 	avgMISSES=0.000003 	avgTIME=0.000856
array_size=16384 	STRIDE=512 	avgMISSES=0.000013 	avgTIME=0.000727
array_size=16384 	STRIDE=1024 	avgMISSES=0.000003 	avgTIME=0.000771
array_size=16384 	STRIDE=2048 	avgMISSES=0.000002 	avgTIME=0.001227
array_size=16384 	STRIDE=4096 	avgMISSES=0.000008 	avgTIME=0.002514
array_size=16384 	STRIDE=8192 	avgMISSES=0.000003 	avgTIME=0.000992
array_size=32768 	STRIDE=1 	avgMISSES=0.000013 	avgTIME=0.000753
array_size=32768 	STRIDE=2 	avgMISSES=0.000018 	avgTIME=0.000753
array_size=32768 	STRIDE=4 	avgMISSES=0.000025 	avgTIME=0.000766
array_size=32768 	STRIDE=8 	avgMISSES=0.000040 	avgTIME=0.000758
array_size=32768 	STRIDE=16 	avgMISSES=0.000065 	avgTIME=0.000761
array_size=32768 	STRIDE=32 	avgMISSES=0.000071 	avgTIME=0.000764
array_size=32768 	STRIDE=64 	avgMISSES=0.000077 	avgTIME=0.000767
array_size=32768 	STRIDE=128 	avgMISSES=0.000042 	avgTIME=0.000776
array_size=32768 	STRIDE=256 	avgMISSES=0.000021 	avgTIME=0.000798
array_size=32768 	STRIDE=512 	avgMISSES=0.000014 	avgTIME=0.000879
array_size=32768 	STRIDE=1024 	avgMISSES=0.000006 	avgTIME=0.000777
array_size=32768 	STRIDE=2048 	avgMISSES=0.000004 	avgTIME=0.000978
array_size=32768 	STRIDE=4096 	avgMISSES=0.000003 	avgTIME=0.001213
array_size=32768 	STRIDE=8192 	avgMISSES=0.000003 	avgTIME=0.000945
array_size=32768 	STRIDE=16384 	avgMISSES=0.000002 	avgTIME=0.000969
array_size=65536 	STRIDE=1 	avgMISSES=0.000022 	avgTIME=0.000763
array_size=65536 	STRIDE=2 	avgMISSES=0.000019 	avgTIME=0.000752
array_size=65536 	STRIDE=4 	avgMISSES=0.000022 	avgTIME=0.000753
array_size=65536 	STRIDE=8 	avgMISSES=0.000040 	avgTIME=0.000754
array_size=65536 	STRIDE=16 	avgMISSES=0.000055 	avgTIME=0.000786
array_size=65536 	STRIDE=32 	avgMISSES=0.000062 	avgTIME=0.000983
array_size=65536 	STRIDE=64 	avgMISSES=0.000043 	avgTIME=0.001973
array_size=65536 	STRIDE=128 	avgMISSES=0.000016 	avgTIME=0.001989
array_size=65536 	STRIDE=256 	avgMISSES=0.000017 	avgTIME=0.002003
array_size=65536 	STRIDE=512 	avgMISSES=0.000007 	avgTIME=0.002004
array_size=65536 	STRIDE=1024 	avgMISSES=0.000005 	avgTIME=0.003242
array_size=65536 	STRIDE=2048 	avgMISSES=0.000003 	avgTIME=0.003467
array_size=65536 	STRIDE=4096 	avgMISSES=0.000005 	avgTIME=0.004657
array_size=65536 	STRIDE=8192 	avgMISSES=0.000002 	avgTIME=0.001167
array_size=65536 	STRIDE=16384 	avgMISSES=0.000002 	avgTIME=0.000947
array_size=65536 	STRIDE=32768 	avgMISSES=0.000002 	avgTIME=0.000970
array_size=131072 	STRIDE=1 	avgMISSES=0.000094 	avgTIME=0.000760
array_size=131072 	STRIDE=2 	avgMISSES=0.000137 	avgTIME=0.000759
array_size=131072 	STRIDE=4 	avgMISSES=0.000234 	avgTIME=0.000759
array_size=131072 	STRIDE=8 	avgMISSES=0.000721 	avgTIME=0.000759
array_size=131072 	STRIDE=16 	avgMISSES=0.003942 	avgTIME=0.000797
array_size=131072 	STRIDE=32 	avgMISSES=0.017632 	avgTIME=0.001013
array_size=131072 	STRIDE=64 	avgMISSES=0.048280 	avgTIME=0.002016
array_size=131072 	STRIDE=128 	avgMISSES=0.076082 	avgTIME=0.002024
array_size=131072 	STRIDE=256 	avgMISSES=0.102522 	avgTIME=0.002186
array_size=131072 	STRIDE=512 	avgMISSES=0.107107 	avgTIME=0.002053
array_size=131072 	STRIDE=1024 	avgMISSES=0.137984 	avgTIME=0.003404
array_size=131072 	STRIDE=2048 	avgMISSES=0.162453 	avgTIME=0.004760
array_size=131072 	STRIDE=4096 	avgMISSES=0.142798 	avgTIME=0.006458
array_size=131072 	STRIDE=8192 	avgMISSES=0.000006 	avgTIME=0.004086
array_size=131072 	STRIDE=16384 	avgMISSES=0.000002 	avgTIME=0.001166
array_size=131072 	STRIDE=32768 	avgMISSES=0.000001 	avgTIME=0.000959
array_size=131072 	STRIDE=65536 	avgMISSES=0.000001 	avgTIME=0.000975
array_size=262144 	STRIDE=1 	avgMISSES=0.000240 	avgTIME=0.000757
array_size=262144 	STRIDE=2 	avgMISSES=0.000355 	avgTIME=0.000782
array_size=262144 	STRIDE=4 	avgMISSES=0.000621 	avgTIME=0.000757
array_size=262144 	STRIDE=8 	avgMISSES=0.001766 	avgTIME=0.000816
array_size=262144 	STRIDE=16 	avgMISSES=0.016473 	avgTIME=0.000807
array_size=262144 	STRIDE=32 	avgMISSES=0.115739 	avgTIME=0.001089
array_size=262144 	STRIDE=64 	avgMISSES=0.207161 	avgTIME=0.002165
array_size=262144 	STRIDE=128 	avgMISSES=0.278564 	avgTIME=0.002169
array_size=262144 	STRIDE=256 	avgMISSES=0.334708 	avgTIME=0.002177
array_size=262144 	STRIDE=512 	avgMISSES=0.351551 	avgTIME=0.002173
array_size=262144 	STRIDE=1024 	avgMISSES=0.394016 	avgTIME=0.003627
array_size=262144 	STRIDE=2048 	avgMISSES=0.500212 	avgTIME=0.004814
array_size=262144 	STRIDE=4096 	avgMISSES=0.652536 	avgTIME=0.007254
array_size=262144 	STRIDE=8192 	avgMISSES=0.000013 	avgTIME=0.005388
array_size=262144 	STRIDE=16384 	avgMISSES=0.000003 	avgTIME=0.004612
array_size=262144 	STRIDE=32768 	avgMISSES=0.000003 	avgTIME=0.001285
array_size=262144 	STRIDE=65536 	avgMISSES=0.000001 	avgTIME=0.000934
array_size=262144 	STRIDE=131072 	avgMISSES=0.000001 	avgTIME=0.000974
array_size=524288 	STRIDE=1 	avgMISSES=0.000393 	avgTIME=0.000756
array_size=524288 	STRIDE=2 	avgMISSES=0.000701 	avgTIME=0.000754
array_size=524288 	STRIDE=4 	avgMISSES=0.001365 	avgTIME=0.000756
array_size=524288 	STRIDE=8 	avgMISSES=0.002854 	avgTIME=0.000755
array_size=524288 	STRIDE=16 	avgMISSES=0.020818 	avgTIME=0.000818
array_size=524288 	STRIDE=32 	avgMISSES=0.492341 	avgTIME=0.001264
array_size=524288 	STRIDE=64 	avgMISSES=0.993958 	avgTIME=0.002510
array_size=524288 	STRIDE=128 	avgMISSES=0.996446 	avgTIME=0.002648
array_size=524288 	STRIDE=256 	avgMISSES=0.996481 	avgTIME=0.002725
array_size=524288 	STRIDE=512 	avgMISSES=0.997122 	avgTIME=0.002419
array_size=524288 	STRIDE=1024 	avgMISSES=1.027399 	avgTIME=0.003774
array_size=524288 	STRIDE=2048 	avgMISSES=1.047470 	avgTIME=0.004960
array_size=524288 	STRIDE=4096 	avgMISSES=1.106084 	avgTIME=0.007809
array_size=524288 	STRIDE=8192 	avgMISSES=0.614366 	avgTIME=0.007041
array_size=524288 	STRIDE=16384 	avgMISSES=0.000005 	avgTIME=0.006515
array_size=524288 	STRIDE=32768 	avgMISSES=0.000002 	avgTIME=0.004967
array_size=524288 	STRIDE=65536 	avgMISSES=0.000001 	avgTIME=0.001856
array_size=524288 	STRIDE=131072 	avgMISSES=0.000001 	avgTIME=0.000943
array_size=524288 	STRIDE=262144 	avgMISSES=0.000000 	avgTIME=0.000969
array_size=1048576 	STRIDE=1 	avgMISSES=0.000378 	avgTIME=0.000755
array_size=1048576 	STRIDE=2 	avgMISSES=0.000672 	avgTIME=0.000754
array_size=1048576 	STRIDE=4 	avgMISSES=0.001180 	avgTIME=0.000752
array_size=1048576 	STRIDE=8 	avgMISSES=0.002639 	avgTIME=0.000754
array_size=1048576 	STRIDE=16 	avgMISSES=0.019663 	avgTIME=0.000815
array_size=1048576 	STRIDE=32 	avgMISSES=0.491918 	avgTIME=0.001262
array_size=1048576 	STRIDE=64 	avgMISSES=0.994548 	avgTIME=0.002512
array_size=1048576 	STRIDE=128 	avgMISSES=0.999881 	avgTIME=0.002685
array_size=1048576 	STRIDE=256 	avgMISSES=1.000053 	avgTIME=0.002801
array_size=1048576 	STRIDE=512 	avgMISSES=1.000460 	avgTIME=0.002423
array_size=1048576 	STRIDE=1024 	avgMISSES=1.027021 	avgTIME=0.003783
array_size=1048576 	STRIDE=2048 	avgMISSES=1.061862 	avgTIME=0.004976
array_size=1048576 	STRIDE=4096 	avgMISSES=1.117134 	avgTIME=0.007864
array_size=1048576 	STRIDE=8192 	avgMISSES=1.112121 	avgTIME=0.007826
array_size=1048576 	STRIDE=16384 	avgMISSES=0.568788 	avgTIME=0.007700
array_size=1048576 	STRIDE=32768 	avgMISSES=0.000007 	avgTIME=0.006514
array_size=1048576 	STRIDE=65536 	avgMISSES=0.000002 	avgTIME=0.004997
array_size=1048576 	STRIDE=131072 	avgMISSES=0.000001 	avgTIME=0.001853
array_size=1048576 	STRIDE=262144 	avgMISSES=0.000000 	avgTIME=0.000943
