array_size=8192 	STRIDE=1 	 0:4970628 	  4971 	 0
array_size=8192 	STRIDE=2 	 0:3856950 	  3858 	 0
array_size=8192 	STRIDE=4 	 0:2901101 	  2901 	 0
array_size=8192 	STRIDE=8 	 0:2932172 	  2932 	 0
array_size=8192 	STRIDE=16 	 0:2964171 	  2964 	 0
array_size=8192 	STRIDE=32 	 0:2434768 	  2435 	 0
array_size=8192 	STRIDE=64 	 0:2071039 	  2071 	 0
array_size=8192 	STRIDE=128 	 0:2179534 	  2179 	 0
array_size=8192 	STRIDE=256 	 0:2058052 	  2058 	 0
array_size=8192 	STRIDE=512 	 0:2117907 	  2118 	 0
array_size=8192 	STRIDE=1024 	 0:2271470 	  2272 	 0
array_size=8192 	STRIDE=2048 	 0:2685115 	  2685 	 0
array_size=8192 	STRIDE=4096 	 0:3190499 	  3190 	 0
array_size=16384 	STRIDE=1 	 0:3955823 	  3956 	 0
array_size=16384 	STRIDE=2 	 0:3937210 	  3937 	 0
array_size=16384 	STRIDE=4 	 0:3933836 	  3934 	 0
array_size=16384 	STRIDE=8 	 0:3986152 	  3986 	 0
array_size=16384 	STRIDE=16 	 0:3947752 	  3948 	 0
array_size=16384 	STRIDE=32 	 0:3968054 	  3968 	 0
array_size=16384 	STRIDE=64 	 0:4011421 	  4011 	 0
array_size=16384 	STRIDE=128 	 0:4100142 	  4100 	 0
array_size=16384 	STRIDE=256 	 0:4279938 	  4280 	 0
array_size=16384 	STRIDE=512 	 0:4076362 	  4077 	 0
array_size=16384 	STRIDE=1024 	 0:4230138 	  4230 	 0
array_size=16384 	STRIDE=2048 	 0:4536122 	  4536 	 0
array_size=16384 	STRIDE=4096 	 0:5441850 	  5442 	 0
array_size=16384 	STRIDE=8192 	 0:6376982 	  6377 	 0
array_size=32768 	STRIDE=1 	 0:7899526 	  7899 	 0
array_size=32768 	STRIDE=2 	 0:7867667 	  7867 	 0
array_size=32768 	STRIDE=4 	 0:7922021 	  7922 	 0
array_size=32768 	STRIDE=8 	 0:7861943 	  7862 	 0
array_size=32768 	STRIDE=16 	 0:7870906 	  7871 	 0
array_size=32768 	STRIDE=32 	 0:7891732 	  7892 	 0
array_size=32768 	STRIDE=64 	 0:7935157 	  7935 	 0
array_size=32768 	STRIDE=128 	 0:8021679 	  8022 	 0
array_size=32768 	STRIDE=256 	 0:8213483 	  8213 	 0
array_size=32768 	STRIDE=512 	 0:8567392 	  8568 	 0
array_size=32768 	STRIDE=1024 	 0:8152992 	  8153 	 0
array_size=32768 	STRIDE=2048 	 0:8458256 	  8458 	 0
array_size=32768 	STRIDE=4096 	 0:10661259 	 10661 	 0
array_size=32768 	STRIDE=8192 	 0:10876403 	 10877 	 0
array_size=32768 	STRIDE=16384 	 0:12747387 	 12747 	 0
array_size=65536 	STRIDE=1 	 0:15803345 	 15803 	 0
array_size=65536 	STRIDE=2 	 0:15867934 	 15868 	 0
