array_size= 8192 	STRIDE= 1 	nano= 1207438.000000 	 numberOfAccesses= 1646592 	AMAT= 0.733295
array_size= 8192 	STRIDE= 2 	nano= 1222812.000000 	 numberOfAccesses= 1642496 	AMAT= 0.744484
array_size= 8192 	STRIDE= 4 	nano= 1219812.000000 	 numberOfAccesses= 1640448 	AMAT= 0.743585
array_size= 8192 	STRIDE= 8 	nano= 1225640.000000 	 numberOfAccesses= 1639424 	AMAT= 0.747604
array_size= 8192 	STRIDE= 16 	nano= 1244411.000000 	 numberOfAccesses= 1638912 	AMAT= 0.759291
array_size= 8192 	STRIDE= 32 	nano= 1349951.000000 	 numberOfAccesses= 1638656 	AMAT= 0.823816
array_size= 8192 	STRIDE= 64 	nano= 1404840.000000 	 numberOfAccesses= 1638528 	AMAT= 0.857379
array_size= 8192 	STRIDE= 128 	nano= 1591632.000000 	 numberOfAccesses= 1638464 	AMAT= 0.971417
array_size= 8192 	STRIDE= 256 	nano= 1713445.000000 	 numberOfAccesses= 1638432 	AMAT= 1.045783
array_size= 8192 	STRIDE= 512 	nano= 1632134.000000 	 numberOfAccesses= 1638416 	AMAT= 0.996166
array_size= 8192 	STRIDE= 1024 	nano= 1671061.000000 	 numberOfAccesses= 1638408 	AMAT= 1.019930
array_size= 8192 	STRIDE= 2048 	nano= 1563384.000000 	 numberOfAccesses= 1638404 	AMAT= 0.954212
array_size= 8192 	STRIDE= 4096 	nano= 1802868.000000 	 numberOfAccesses= 1638402 	AMAT= 1.100382
array_size= 16384 	STRIDE= 1 	nano= 2471563.000000 	 numberOfAccesses= 3293184 	AMAT= 0.750509
array_size= 16384 	STRIDE= 2 	nano= 2500954.000000 	 numberOfAccesses= 3284992 	AMAT= 0.761327
array_size= 16384 	STRIDE= 4 	nano= 2338274.000000 	 numberOfAccesses= 3280896 	AMAT= 0.712694
array_size= 16384 	STRIDE= 8 	nano= 2370051.000000 	 numberOfAccesses= 3278848 	AMAT= 0.722830
array_size= 16384 	STRIDE= 16 	nano= 2404394.000000 	 numberOfAccesses= 3277824 	AMAT= 0.733534
array_size= 16384 	STRIDE= 32 	nano= 2416335.000000 	 numberOfAccesses= 3277312 	AMAT= 0.737292
array_size= 16384 	STRIDE= 64 	nano= 2525199.000000 	 numberOfAccesses= 3277056 	AMAT= 0.770569
array_size= 16384 	STRIDE= 128 	nano= 2710395.000000 	 numberOfAccesses= 3276928 	AMAT= 0.827115
array_size= 16384 	STRIDE= 256 	nano= 3103001.000000 	 numberOfAccesses= 3276864 	AMAT= 0.946942
array_size= 16384 	STRIDE= 512 	nano= 3070727.000000 	 numberOfAccesses= 3276832 	AMAT= 0.937102
array_size= 16384 	STRIDE= 1024 	nano= 3153338.000000 	 numberOfAccesses= 3276816 	AMAT= 0.962318
array_size= 16384 	STRIDE= 2048 	nano= 3257216.000000 	 numberOfAccesses= 3276808 	AMAT= 0.994021
array_size= 16384 	STRIDE= 4096 	nano= 3314714.000000 	 numberOfAccesses= 3276804 	AMAT= 1.011569
array_size= 16384 	STRIDE= 8192 	nano= 3516888.000000 	 numberOfAccesses= 3276802 	AMAT= 1.073268
array_size= 32768 	STRIDE= 1 	nano= 4716932.000000 	 numberOfAccesses= 6586368 	AMAT= 0.716166
